Series Name,"Series Code","Country Name","Country Code","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Kazakhstan","KAZ","17542806"
"Population, total","SP.POP.TOTL","Kenya","KEN","46851488"
"Population, total","SP.POP.TOTL","Kiribati","KIR","116707"
"Population, total","SP.POP.TOTL","Korea, Dem. People's Rep.","PRK","25258015"
"Population, total","SP.POP.TOTL","Korea, Rep.","KOR","51014947"
"Population, total","SP.POP.TOTL","Kosovo","XKX","1788196"
"Population, total","SP.POP.TOTL","Kuwait","KWT","3908743"
"Population, total","SP.POP.TOTL","Kyrgyz Republic","KGZ","5956900"
"Population, total","SP.POP.TOTL","Lao PDR","LAO","6787419"
"Population, total","SP.POP.TOTL","Latvia","LVA","1977527"
"Population, total","SP.POP.TOTL","Lebanon","LBN","6398940"
"Population, total","SP.POP.TOTL","Lesotho","LSO","2118521"
"Population, total","SP.POP.TOTL","Liberia","LBR","4612329"
"Population, total","SP.POP.TOTL","Libya","LBY","6192235"
"Population, total","SP.POP.TOTL","Liechtenstein","LIE","37355"
"Population, total","SP.POP.TOTL","Lithuania","LTU","2904910"
"Population, total","SP.POP.TOTL","Luxembourg","LUX","569604"
"Population, total","SP.POP.TOTL","Macao SAR, China","MAC","615239"
"Population, total","SP.POP.TOTL","North Macedonia","MKD","1912430"
"Population, total","SP.POP.TOTL","Madagascar","MDG","24850912"
"Population, total","SP.POP.TOTL","Malawi","MWI","16938942"
"Population, total","SP.POP.TOTL","Malaysia","MYS","31068833"
"Population, total","SP.POP.TOTL","Maldives","MDV","435582"
"Population, total","SP.POP.TOTL","Mali","MLI","18112907"
"Population, total","SP.POP.TOTL","Malta","MLT","445053"
"Population, total","SP.POP.TOTL","Marshall Islands","MHL","49410"
"Population, total","SP.POP.TOTL","Mauritania","MRT","3946220"
"Population, total","SP.POP.TOTL","Mauritius","MUS","1262879"
"Population, total","SP.POP.TOTL","Mexico","MEX","120149897"
"Population, total","SP.POP.TOTL","Micronesia, Fed. Sts.","FSM","109462"
"Population, total","SP.POP.TOTL","Moldova","MDA","2835978"
"Population, total","SP.POP.TOTL","Monaco","MCO","36760"
"Population, total","SP.POP.TOTL","Mongolia","MNG","2964749"
"Population, total","SP.POP.TOTL","Montenegro","MNE","622159"
"Population, total","SP.POP.TOTL","Morocco","MAR","34680458"
"Population, total","SP.POP.TOTL","Mozambique","MOZ","26843246"
"Population, total","SP.POP.TOTL","Myanmar","MMR","51483949"
"Population, total","SP.POP.TOTL","Namibia","NAM","2282704"
"Population, total","SP.POP.TOTL","Nauru","NRU","11185"
"Population, total","SP.POP.TOTL","Nepal","NPL","27610325"
"Population, total","SP.POP.TOTL","Netherlands","NLD","16939923"
"Population, total","SP.POP.TOTL","New Caledonia","NCL","269460"
"Population, total","SP.POP.TOTL","New Zealand","NZL","4609400"
"Population, total","SP.POP.TOTL","Nicaragua","NIC","6298598"
"Population, total","SP.POP.TOTL","Niger","NER","20128124"
"Population, total","SP.POP.TOTL","Nigeria","NGA","183995785"
"Population, total","SP.POP.TOTL","Northern Mariana Islands","MNP","51514"
"Population, total","SP.POP.TOTL","Norway","NOR","5188607"
"Population, total","SP.POP.TOTL","Oman","OMN","4191776"
